position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2010",Simon Mignolet,"1,93m",50219,['Belgium'],€5.50m,: Ablöse €2.50m,25,"Mar 6, 1988",Club Brugge KV
Goalkeeper,left,,"Jul 1, 2011",Keiren Westwood,"1,88m",15164,"['Ireland', 'England']",€2.00m,Coventry City,28,"Oct 23, 1984",Without Club
Centre-Back,right,,"Jul 7, 2011",John O'Shea,"1,92m",3540,['Ireland'],€3.00m,Manchester United,32,"Apr 30, 1981",Retired
Centre-Back,right,,"Jan 14, 2013",Kader Mangane,"1,93m",4796,"['Senegal', 'France']",€3.00m,: Ablöse free transfer,30,"Mar 23, 1983",Retired
Centre-Back,right,,"Jul 2, 2012",Carlos Cuéllar,"1,90m",16576,['Spain'],€3.00m,: Ablöse free transfer,31,"Aug 23, 1981",Retired
Centre-Back,right,,"Jul 23, 2010",Titus Bramble,"1,92m",3130,"['England', 'Montserrat']",€2.00m,Wigan Athletic,31,"Jul 31, 1981",Retired
Centre-Back,,,"Jan 21, 2010",Matthew Kilgallon,"1,85m",4095,['England'],€1.50m,Sheffield United,29,"Jan 8, 1984",Retired
Centre-Back,right,,"Jul 1, 2011",Wes Brown,"1,85m",3405,['England'],€1.00m,Manchester United,33,"Oct 13, 1979",Retired
Centre-Back,right,,"Jul 1, 2011",John Egan,"1,85m",121324,['Ireland'],,Sunderland AFC U18,20,"Oct 20, 1992",Burnley FC
Centre-Back,right,,"Oct 24, 2012",Scott Harrison,"1,88m",204114,['England'],,Without Club,19,"Sep 3, 1993",Retired
Left-Back,left,,"Aug 31, 2012",Danny Rose,"1,73m",50174,"['England', 'Jamaica']",€5.00m,Tottenham Hotspur,22,"Jul 2, 1990",Retired
Left-Back,left,,"Jul 16, 2007",Kieran Richardson,"1,77m",3548,['England'],€3.50m,Manchester United,28,"Oct 21, 1984",Retired
Left-Back,left,,,David Ferguson,"1,80m",214023,['England'],,,19,"Jun 7, 1994",Hartlepool United
Right-Back,right,,"Jan 22, 2008",Phil Bardsley,"1,80m",15773,"['Scotland', 'England']",€4.00m,Manchester United,28,"Jun 28, 1985",Retired
Right-Back,right,,"Jul 1, 2011",Ahmed El Mohamady,"1,82m",66333,['Egypt'],€2.50m,: Ablöse €2.50m,25,"Sep 9, 1987",Retired
Right-Back,right,,,Liam Marrs,"1,75m",121335,['England'],,,20,"Nov 26, 1992",Without Club
Defensive Midfield,left,,"Jul 1, 2009",Jack Colback,"1,77m",61644,['England'],€6.00m,Sunderland AFC Reserves,23,"Oct 24, 1989",Queens Park Rangers
Defensive Midfield,right,,"Aug 12, 2009",Lee Cattermole,"1,78m",37363,['England'],€5.50m,Wigan Athletic,25,"Mar 21, 1988",Retired
Defensive Midfield,right,,"Jan 9, 2013",Alfred N'Diaye,"1,89m",77737,"['Senegal', 'France']",€4.50m,Bursaspor,23,"Mar 6, 1990",Without Club
