position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2004",Petr Cech,"1,96m",5658,['Czech Republic'],€26.00m,Stade Rennais FC,28,"May 20, 1982",Retired
Goalkeeper,right,,"Jul 2, 2009",Ross Turnbull,"1,93m",29159,['England'],€1.50m,Middlesbrough FC,25,"Jan 4, 1985",Retired
Goalkeeper,right,,"Jul 1, 2006",Hilário,"1,89m",13886,['Portugal'],€750k,CD Nacional,34,"Oct 21, 1975",Retired
Goalkeeper,right,,,Rhys Taylor,"1,86m",45560,['Wales'],€200k,,20,"Apr 7, 1990",Retired
Goalkeeper,,,,Jan Sebek,"1,98m",44409,['Czech Republic'],,,19,"Mar 31, 1991",Retired
Centre-Back,right,,"Jan 1, 2000",John Terry,"1,87m",3160,['England'],€35.00m,: Ablöse -,29,"Dec 7, 1980",Retired
Centre-Back,right,,"Jul 27, 2004",Ricardo Carvalho,"1,82m",9828,['Portugal'],€17.50m,: Ablöse €30.00m,32,"May 18, 1978",Retired
Centre-Back,right,,"Jul 1, 2004",Alex,"1,88m",15420,['Brazil'],€13.00m,Santos FC,28,"Jun 17, 1982",Retired
Centre-Back,right,,"Jul 1, 2006",Michael Mancienne,"1,84m",38100,"['Seychelles', 'England']",€2.00m,Chelsea FC U18,22,"Jan 8, 1988",Retired
Centre-Back,right,,"Jul 1, 2009",Jeffrey Bruma,"1,89m",88721,"['Netherlands', 'Suriname']",€100k,Chelsea FC U18,18,"Nov 13, 1991",Without Club
Left-Back,left,,"Aug 31, 2006",Ashley Cole,"1,76m",3182,"['England', 'Barbados']",€27.00m,: Ablöse €7.40m,29,"Dec 20, 1980",Retired
Left-Back,left,,"Jul 1, 2009",Patrick van Aanholt,"1,76m",52119,"['Netherlands', 'Curacao']",€100k,Chelsea FC U18,19,"Aug 29, 1990",Without Club
Right-Back,right,,"Jul 16, 2008",Bosingwa,"1,83m",9813,"['Portugal', 'DR Congo']",€20.00m,FC Porto,27,"Aug 24, 1982",Retired
Right-Back,right,,"Jan 15, 2008",Branislav Ivanovic,"1,85m",36827,['Serbia'],€16.00m,: Ablöse €12.00m,26,"Feb 22, 1984",Retired
