position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Sep 16, 2020",Emiliano Martínez,"1,95m",111873,"['Argentina', 'Spain']",€28.00m,,Arsenal FC,30,"Sep 2, 1992",Aston Villa
Goalkeeper,right,,"Jul 1, 2022",Robin Olsen,"1,96m",75458,"['Sweden', 'Denmark']",€1.50m,,AS Roma,33,"Jan 8, 1990",Aston Villa
Goalkeeper,left,,"Jul 1, 2013",Jed Steer,"1,83m",110867,"['England', 'Scotland']",€500k,,: Ablöse €540k,30,"Sep 23, 1992",Peterborough United
Goalkeeper,right,,"Jul 1, 2022",Viljami Sinisalo,"1,90m",484838,['Finland'],€500k,,: Ablöse -,21,"Oct 11, 2001",Celtic FC
Goalkeeper,right,,,Oliwier Zych,"1,93m",555074,['Poland'],€50k,,,19,"Jun 28, 2004",Aston Villa U21
Goalkeeper,right,,"Jul 1, 2023",Filip Marschall,"1,95m",610863,"['England', 'Poland']",,,: Ablöse -,20,"Apr 24, 2003",Crewe Alexandra
Goalkeeper,right,,,James Wright,"1,88m",712181,['England'],,,,18,"Dec 2, 2004",Real Unión Club
Centre-Back,right,,"Jul 11, 2019",Ezri Konsa,"1,83m",413403,"['England', 'DR Congo']",€25.00m,,Brentford FC,25,"Oct 23, 1997",Aston Villa
Centre-Back,left,Cruciate ligament tear - Return unknown,"Jul 8, 2019",Tyrone Mings,"1,96m",253677,['England'],€22.00m,,AFC Bournemouth,30,"Mar 13, 1993",Aston Villa
Centre-Back,right,,"Jul 1, 2022",Diego Carlos,"1,85m",329145,"['Brazil', 'Spain']",€20.00m,,Sevilla FC,30,"Mar 15, 1993",Aston Villa
Centre-Back,right,,"Sep 1, 2022",Jan Bednarek,"1,89m",243028,['Poland'],€14.00m,,Southampton FC,27,"Apr 12, 1996",Southampton FC
Centre-Back,right,,"Jan 27, 2022",Calum Chambers,"1,82m",215118,['England'],€8.00m,,Arsenal FC,28,"Jan 20, 1995",Cardiff City
Centre-Back,left,"No eligibility - until Jan 31, 2025 - UEFA Champions League; Knee surgery - Return unknown","Jul 1, 2019",Kortney Hause,"1,91m",233124,"['England', 'Bermuda']",€2.20m,,Wolverhampton Wanderers,27,"Jul 16, 1995",Aston Villa
Centre-Back,right,,"Jul 1, 2024",Lamare Bogarde,"1,85m",645686,"['Netherlands', 'Suriname']",€450k,"Internal transfer: Aston Villa U21; date: Jul 1, 2024",Aston Villa U21,19,"Jan 5, 2004",Aston Villa
Centre-Back,right,,,Josh Feeney,"1,96m",875929,"['England', 'Scotland']",€300k,,,18,"May 6, 2005",Shrewsbury Town
Centre-Back,,,,Sil Swinkels,,646710,['Netherlands'],€150k,,,19,"Jan 6, 2004",Aston Villa U21
Left-Back,left,,"Jan 11, 2023",Álex Moreno,"1,79m",193098,['Spain'],€15.00m,,Real Betis Balompié,30,"Jun 8, 1993",Nottingham Forest
