position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2008",Tim Krul,"1,93m",33027,['Netherlands'],€8.50m,Newcastle United Reserves,24,"Apr 3, 1988",Luton Town
Goalkeeper,right,,"Jul 1, 2007",Fraser Forster,"2,01m",52570,['England'],€2.00m,Newcastle United U18,24,"Mar 17, 1988",Tottenham Hotspur
Goalkeeper,right,,"Jul 1, 1993",Steve Harper,"1,88m",3562,['England'],€500k,Seaham Red Star,37,"Mar 14, 1975",Retired
Goalkeeper,left,,"Aug 30, 2011",Rob Elliot,"1,90m",39037,"['Ireland', 'England']",€250k,Charlton Athletic,26,"Apr 30, 1986",Retired
Goalkeeper,right,,"Jul 1, 2008",Ole Söderberg,"1,94m",62145,['Sweden'],€200k,Newcastle United U18,21,"Jul 20, 1990",Retired
Centre-Back,right,,"Aug 15, 2008",Fabricio Coloccini,"1,84m",6150,"['Argentina', 'Italy']",€8.00m,Deportivo de La Coruña,30,"Jan 22, 1982",Retired
Centre-Back,right,,"Jul 1, 2003",Steven Taylor,"1,86m",17273,['England'],€6.00m,Newcastle United U18,26,"Jan 23, 1986",Retired
Centre-Back,right,,"Jan 1, 2010",Mike Williamson,"1,94m",10642,['England'],€3.50m,: Ablöse €1.10m,28,"Nov 8, 1983",Retired
Centre-Back,right,,"Jul 1, 2010",James Perch,"1,80m",49409,"['England', 'Jamaica']",€2.00m,: Ablöse €1.20m,26,"Sep 28, 1985",Ilkeston Town FC
Centre-Back,left,,"Jan 1, 2008",Tamás Kádár,"1,88m",64313,['Hungary'],€500k,: Ablöse €1.35m,22,"Mar 14, 1990",MTK Budapest
Centre-Back,left,,"Jul 1, 2012",Paul Dummett,"1,83m",170321,"['Wales', 'England']",,Newcastle United U21,20,"Sep 26, 1991",Wigan Athletic
Centre-Back,right,Foot surgery - Return unknown,,Jeff Henderson,"1,85m",62062,['England'],,,20,"Dec 19, 1991",Morpeth Town AFC
Left-Back,right,,"Aug 30, 2011",Davide Santon,"1,87m",84344,['Italy'],€8.00m,: Ablöse €5.65m,21,"Jan 2, 1991",Retired
Right-Back,right,,"Jan 20, 2010",Danny Simpson,"1,76m",37442,"['England', 'Jamaica']",€5.50m,Manchester United,25,"Jan 4, 1987",Retired
Right-Back,right,,"Jan 1, 2009",Ryan Taylor,"1,79m",33785,['England'],€4.50m,Wigan Athletic,27,"Aug 19, 1984",Without Club
Right-Back,right,,"Jul 1, 2011",James Tavernier,"1,82m",62094,['England'],,Newcastle United Reserves,20,"Oct 31, 1991",Rangers FC
Defensive Midfield,right,,"Aug 26, 2010",Cheik Tioté,"1,80m",33478,"[""Cote d'Ivoire""]",€12.50m,Twente Enschede FC,26,"Jun 21, 1986",---
Central Midfield,right,,"Jul 1, 2011",Yohan Cabaye,"1,73m",29434,['France'],€16.50m,: Ablöse €5.00m,26,"Jan 14, 1986",Retired
Central Midfield,right,,"Jul 1, 2007",Joey Barton,"1,80m",3292,['England'],€5.00m,: Ablöse €8.60m,29,"Sep 2, 1982",Retired
Central Midfield,right,,"Jul 11, 2008",Danny Guthrie,"1,76m",16716,['England'],€4.00m,: Ablöse €4.30m,25,"Apr 18, 1987",Retired
Central Midfield,right,,"Jul 22, 2010",Dan Gosling,"1,80m",44983,['England'],€1.50m,: Ablöse free transfer,22,"Feb 1, 1990",Westfield FC
Central Midfield,,,"Aug 3, 2007",Alan Smith,,3768,['England'],€500k,Manchester United,31,"Oct 28, 1980",Retired
Central Midfield,right,,"Jul 1, 2011",Mehdi Abeid,"1,78m",111036,"['Algeria', 'France']",,RC Lens B,19,"Aug 6, 1992",Al-Raed SFC
Left Midfield,right,,"Jul 2, 2008",Jonás Gutiérrez,"1,84m",26443,"['Argentina', 'Italy']",€8.00m,RCD Mallorca,28,"Jul 5, 1983",Retired
Left Midfield,left,,"Jan 1, 2011",Shane Ferguson,"1,75m",62052,['Northern Ireland'],€1.00m,Newcastle United Reserves,20,"Jul 12, 1991",Without Club
Attacking Midfield,left,,"Jan 1, 2011",Hatem Ben Arfa,"1,79m",18900,"['France', 'Tunisia']",€13.50m,Olympique Marseille,25,"Mar 7, 1987",Retired
Attacking Midfield,left,,"Jul 1, 2011",Sylvain Marveaux,"1,72m",39909,"['France', 'Martinique']",€3.00m,Stade Rennais FC,26,"Apr 15, 1986",Without Club
Left Winger,left,,"Jul 1, 2011",Sammy Ameobi,"1,90m",92381,"['England', 'Nigeria']",€2.00m,Newcastle United Reserves,20,"May 1, 1992",Without Club
