position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 1, 2016",Alex McCarthy,"1,93m",95976,['England'],€3.00m,,Crystal Palace,32,"Dec 3, 1989",Southampton FC
Goalkeeper,right,,"Aug 9, 2014",Fraser Forster,"2,01m",52570,['England'],€2.00m,,Celtic FC,34,"Mar 17, 1988",Tottenham Hotspur
Goalkeeper,right,,"Dec 6, 2021",Willy Caballero,"1,86m",19948,"['Argentina', 'Spain']",€250k,,Without Club,40,"Sep 28, 1981",Retired
Goalkeeper,right,,"Jul 1, 2020",Harry Lewis,"1,91m",341043,['England'],€200k,,Southampton FC B,24,"Dec 20, 1997",Carlisle United
Centre-Back,right,,"Jul 1, 2017",Jan Bednarek,"1,89m",243028,['Poland'],€22.00m,,Lech Poznan,26,"Apr 12, 1996",Southampton FC
Centre-Back,left,,"Aug 12, 2020",Mohammed Salisu,"1,88m",563963,['Ghana'],€18.00m,,: Ablöse €12.00m,23,"Apr 17, 1999",AS Monaco
Centre-Back,right,Team captain,"Jul 1, 2013",Jack Stephens,"1,85m",163744,['England'],€7.00m,,Southampton FC U21,28,"Jan 27, 1994",Southampton FC
Centre-Back,right,,"Aug 25, 2021",Lyanco,"1,87m",379807,"['Brazil', 'Serbia']",€5.00m,"Returned after loan spell with Al-Gharafa SC; date: Jun 30, 2024; fee: End of loan",Torino FC,25,"Feb 1, 1997",Clube Atlético Mineiro
Centre-Back,right,,,Dynel Simeu,"1,87m",503976,"['England', 'Cameroon']",€1.00m,,,20,"Mar 13, 2002",KF Teuta
Left-Back,left,,"Jul 2, 2021",Romain Perraud,"1,73m",318523,['France'],€8.00m,"Returned after loan spell with OGC Nice; date: Jun 30, 2024; fee: End of loan",Stade Brestois 29,24,"Sep 22, 1997",Real Betis Balompié
Left-Back,left,,,Thierry Small,"1,77m",746554,"['England', 'Panama']",€100k,,,17,"Aug 1, 2004",Charlton Athletic
