position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 20, 2023",André Onana,"1,90m",234509,['Cameroon'],€35.00m,,Inter Milan,28,"Apr 2, 1996",Manchester United
Goalkeeper,right,,"Aug 1, 2020",Dean Henderson,"1,88m",258919,['England'],€12.00m,,Manchester United U23,27,"Mar 12, 1997",Crystal Palace
Goalkeeper,right,,"Sep 1, 2023",Altay Bayindir,"1,98m",336077,['Türkiye'],€10.00m,,Fenerbahce,26,"Apr 14, 1998",Manchester United
Goalkeeper,right,,,Radek Vítek,"1,98m",622236,['Czech Republic'],€300k,,,20,"Oct 24, 2003",FC Blau-Weiss Linz
Goalkeeper,right,,"Jul 2, 2021",Tom Heaton,"1,88m",34130,['England'],€250k,,: Ablöse free transfer,38,"Apr 15, 1986",Manchester United
Goalkeeper,right,,,Dermot Mee,"1,83m",620362,"['Northern Ireland', 'England']",€200k,,,21,"Nov 20, 2002",Manchester United U21
Centre-Back,left,,"Jul 27, 2022",Lisandro Martínez,"1,75m",480762,['Argentina'],€45.00m,,Ajax Amsterdam,26,"Jan 18, 1998",Manchester United
Centre-Back,right,"Knee problems - Return expected on Jan 1, 2025","Aug 14, 2021",Raphaël Varane,"1,91m",164770,"['France', 'Martinique']",€20.00m,,Real Madrid,31,"Apr 25, 1993",Retired
Centre-Back,right,,"Aug 5, 2019",Harry Maguire,"1,94m",177907,['England'],€18.00m,,Leicester City,31,"Mar 5, 1993",Manchester United
Centre-Back,right,,"Jul 1, 2017",Victor Lindelöf,"1,87m",184573,['Sweden'],€15.00m,,SL Benfica,29,"Jul 17, 1994",Manchester United
Centre-Back,right,,"Jan 1, 2024",Willy Kambwala,"1,92m",780630,"['France', 'DR Congo']",€5.00m,,Manchester United U21,19,"Aug 25, 2004",Villarreal CF
Centre-Back,both,,"Jul 18, 2023",Jonny Evans,"1,88m",42412,['Northern Ireland'],€2.00m,,Leicester City,36,"Jan 3, 1988",Manchester United
Centre-Back,right,,,Rhys Bennett,"1,87m",794816,['England'],,,,20,"Oct 30, 2003",Fleetwood Town
Centre-Back,,,,Louis Jackson,,858191,"['Scotland', 'England']",,,,18,"Sep 18, 2005",Manchester United U21
Left-Back,left,,"Jul 1, 2014",Luke Shaw,"1,78m",183288,['England'],€32.00m,,Southampton FC,28,"Jul 12, 1995",Manchester United
Left-Back,left,Knee injury - Return unknown,"Jul 5, 2022",Tyrell Malacia,"1,69m",339340,"['Netherlands', 'Curacao']",€18.00m,,: Ablöse €15.00m,24,"Aug 17, 1999",Manchester United
Left-Back,left,,"Sep 1, 2023",Sergio Reguilón,"1,78m",282429,['Spain'],€12.00m,,Tottenham Hotspur,27,"Dec 16, 1996",Tottenham Hotspur
Left-Back,left,,"Jul 1, 2022",Álvaro Carreras,"1,86m",811778,['Spain'],€7.00m,"Returned after loan spell with SL Benfica; date: Jun 30, 2024; fee: End of loan",Manchester United U21,21,"Mar 23, 2003",SL Benfica
Left-Back,right,,"Jul 1, 2019",Brandon Williams,"1,80m",507700,['England'],€2.50m,,Manchester United U18,23,"Sep 3, 2000",Without Club
Left-Back,left,,,Harry Amass,,1011738,['England'],,,,17,"Mar 16, 2007",Manchester United U21
Right-Back,right,,"Jul 1, 2018",Diogo Dalot,"1,83m",357147,['Portugal'],€35.00m,,FC Porto,25,"Mar 18, 1999",Manchester United
Right-Back,right,,"Jul 1, 2019",Aaron Wan-Bissaka,"1,83m",477758,"['England', 'DR Congo']",€20.00m,,Crystal Palace,26,"Nov 26, 1997",West Ham United
Right-Back,right,,,Habeeb Ogunneye,,864788,"['England', 'Nigeria']",€200k,,,18,"Nov 12, 2005",Manchester United U21
Defensive Midfield,right,,"Sep 1, 2023",Sofyan Amrabat,"1,85m",287579,"['Morocco', 'Netherlands']",€22.00m,,ACF Fiorentina,27,"Aug 21, 1996",Fenerbahce
Defensive Midfield,right,,"Aug 22, 2022",Casemiro,"1,85m",16306,"['Brazil', 'Spain']",€20.00m,,Real Madrid,32,"Feb 23, 1992",Manchester United
Defensive Midfield,right,,"Jul 1, 2024",Toby Collyer,"1,80m",654253,['England'],€200k,"Internal transfer: Manchester United U21; date: Jul 1, 2024",Manchester United U21,20,"Jan 3, 2004",Manchester United
Central Midfield,right,,"Jan 1, 2023",Kobbie Mainoo,"1,80m",820374,"['England', 'Ghana']",€50.00m,,Manchester United U21,19,"Apr 19, 2005",Manchester United
Central Midfield,right,,"Jul 1, 2017",Scott McTominay,"1,91m",315969,"['Scotland', 'England']",€32.00m,,Manchester United U23,27,"Dec 8, 1996",SSC Napoli
Central Midfield,right,,"Jul 15, 2022",Christian Eriksen,"1,82m",69633,['Denmark'],€8.00m,,Brentford FC,32,"Feb 14, 1992",Manchester United
Central Midfield,right,,"Sep 2, 2020",Donny van de Beek,"1,84m",288255,['Netherlands'],€5.00m,"Returned after loan spell with Eintracht Frankfurt; date: Jun 30, 2024; fee: End of loan",Ajax Amsterdam,27,"Apr 18, 1997",Girona FC
Central Midfield,right,Shoulder injury - Return unknown,"Jul 1, 2023",Daniel Gore,,747153,['England'],€900k,,Manchester United U21,19,"Sep 26, 2004",Manchester United
Attacking Midfield,right,Team captain,"Jan 29, 2020",Bruno Fernandes,"1,79m",240306,['Portugal'],€70.00m,,Sporting CP,29,"Sep 8, 1994",Manchester United
Attacking Midfield,right,,"Jul 5, 2023",Mason Mount,"1,81m",346483,['England'],€35.00m,,Chelsea FC,25,"Jan 10, 1999",Manchester United
Attacking Midfield,right,,"Jul 1, 2022",Hannibal,"1,83m",607224,"['Tunisia', 'France']",€9.00m,"Returned after loan spell with Sevilla FC; date: Jun 30, 2024; fee: End of loan",Manchester United U21,21,"Jan 21, 2003",Burnley FC
Left Winger,right,,"Jan 1, 2016",Marcus Rashford,"1,85m",258923,"['England', 'St. Kitts & Nevis']",€60.00m,,Manchester United U18,26,"Oct 31, 1997",Manchester United
Left Winger,right,,"Jul 1, 2022",Alejandro Garnacho,"1,80m",811779,"['Argentina', 'Spain']",€45.00m,,Manchester United U21,19,"Jul 1, 2004",Manchester United
Left Winger,right,,"Jul 23, 2021",Jadon Sancho,"1,80m",401173,"['England', 'Jamaica']",€30.00m,,Borussia Dortmund,24,"Mar 25, 2000",Chelsea FC
Right Winger,left,,"Aug 30, 2022",Antony,"1,72m",602105,['Brazil'],€25.00m,,Ajax Amsterdam,24,"Feb 24, 2000",Manchester United
