position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Sep 16, 2020",Emiliano Martínez,"1,95m",111873,"['Argentina', 'Spain']",€30.00m,,Arsenal FC,28,"Sep 2, 1992",Aston Villa
Goalkeeper,left,,"Jan 1, 2019",Lovre Kalinic,"2,01m",46405,['Croatia'],€2.50m,,: Ablöse €6.00m,31,"Apr 3, 1990",HNK Hajduk Split
Goalkeeper,right,Torn lateral knee ligament - Return unknown,"Aug 7, 2018",Ørjan Nyland,"1,92m",73517,['Norway'],€1.00m,,FC Ingolstadt 04,30,"Sep 10, 1990",Sevilla FC
Goalkeeper,right,,"Aug 1, 2019",Tom Heaton,"1,88m",34130,['England'],€1.00m,,: Ablöse €8.80m,35,"Apr 15, 1986",Manchester United
Goalkeeper,left,,"Jul 1, 2013",Jed Steer,"1,83m",110867,"['England', 'Scotland']",€800k,,: Ablöse €540k,28,"Sep 23, 1992",Peterborough United
Goalkeeper,right,,,Ákos Onódi,"1,95m",501156,['Hungary'],€150k,,,19,"Sep 2, 2001",Szeged-Csanád - GA
Goalkeeper,right,,,Oliwier Zych,"1,93m",555074,['Poland'],,,,17,"Jun 28, 2004",Aston Villa U21
Centre-Back,left,Cruciate ligament tear - Return unknown,"Jul 8, 2019",Tyrone Mings,"1,96m",253677,['England'],€30.00m,,AFC Bournemouth,28,"Mar 13, 1993",Aston Villa
Centre-Back,right,,"Jul 11, 2019",Ezri Konsa,"1,83m",413403,"['England', 'DR Congo']",€25.00m,,Brentford FC,23,"Oct 23, 1997",Aston Villa
Centre-Back,left,"No eligibility - until Jan 31, 2025 - UEFA Champions League; Knee surgery - Return unknown","Jul 1, 2019",Kortney Hause,"1,91m",233124,"['England', 'Bermuda']",€5.00m,,Wolverhampton Wanderers,25,"Jul 16, 1995",Aston Villa
Centre-Back,right,Achilles heel problems - Return unknown,"Jul 16, 2019",Björn Engels,"1,95m",193469,['Belgium'],€3.00m,,: Ablöse €8.00m,26,"Sep 15, 1994",Royal Antwerp FC
Centre-Back,right,,"Jul 1, 2024",Lamare Bogarde,"1,85m",645686,"['Netherlands', 'Suriname']",€200k,"Internal transfer: Aston Villa U21; date: Jul 1, 2024",Aston Villa U21,17,"Jan 5, 2004",Aston Villa
Centre-Back,left,,,Mungo Bridge,"1,88m",530223,['England'],€150k,,,20,"Sep 12, 2000",Without Club
Centre-Back,right,,,Dominic Revan,"1,80m",503750,"['England', 'St. Kitts & Nevis']",€150k,,,20,"Sep 19, 2000",Hampton & Richmond Borough
Centre-Back,,,,Sil Swinkels,,646710,['Netherlands'],€150k,,,17,"Jan 6, 2004",Aston Villa U21
Left-Back,left,,"Jul 1, 2019",Matt Targett,"1,83m",250478,"['England', 'Scotland']",€17.00m,,Southampton FC,25,"Sep 18, 1995",Newcastle United
Left-Back,left,,"Jan 31, 2017",Neil Taylor,"1,76m",67416,"['Wales', 'India']",€1.50m,,: Ablöse ?,32,"Feb 7, 1989",Retired
Left-Back,left,,,Ben Chrisene,"1,83m",670846,['England'],€150k,,,17,"Jan 12, 2004",Norwich City
Right-Back,right,,"Sep 3, 2020",Matty Cash,"1,85m",425334,"['Poland', 'England']",€22.00m,,Nottingham Forest,23,"Aug 7, 1997",Aston Villa
Right-Back,right,,"Jan 31, 2019",Frédéric Guilbert,"1,78m",354352,['France'],€6.00m,,SM Caen,26,"Dec 24, 1994",US Lecce
Right-Back,right,,"Jul 19, 2017",Ahmed El Mohamady,"1,82m",66333,['Egypt'],€1.50m,,: Ablöse €1.10m,33,"Sep 9, 1987",Retired
Right-Back,right,,"Jan 15, 2024",Kaine Kesler-Hayden,"1,75m",626888,['England'],€250k,,: Ablöse -,18,"Oct 23, 2002",Preston North End
Right-Back,right,,,Frankie Ealing,,741700,['England'],,,,16,"Jul 14, 2004",Aberystwyth Town
