position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Mar 1, 2011",Jens Lehmann,,122,['Germany'],€5.50m,,36,"Nov 10, 1969",Retired
Goalkeeper,left,"Aug 31, 2005",Mart Poom,"1,95m",3715,['Estonia'],€1.00m,Sunderland AFC,34,"Feb 3, 1972",Retired
Goalkeeper,right,"Jul 14, 2004",Manuel Almunia,"1,91m",16621,['Spain'],€800k,Celta de Vigo,29,"May 19, 1977",Retired
Goalkeeper,right,,Mark Howard,"1,83m",25186,['England'],€125k,,19,"Sep 21, 1986",Wrexham AFC
Centre-Back,,"Jan 1, 2010",Sol Campbell,,3198,"['England', 'Jamaica']",€10.00m,Without Club,31,"Sep 18, 1974",Retired
Centre-Back,right,"Feb 14, 2002",Kolo Touré,"1,78m",3202,"[""Cote d'Ivoire"", 'England']",€10.00m,ASEC Mimosas,25,"Mar 19, 1981",Retired
Centre-Back,right,"Jul 1, 2003",Philippe Senderos,"1,89m",4277,"['Switzerland', 'Spain']",€6.00m,: Ablöse €3.55m,21,"Feb 14, 1985",Retired
Centre-Back,left,"Jul 1, 2002",Pascal Cygan,"1,92m",3193,"['France', 'Poland']",€1.40m,: Ablöse €3.83m,32,"Apr 29, 1974",Retired
Centre-Back,,"Jul 1, 2004",Johan Djourou,,34561,"['Switzerland', ""Cote d'Ivoire""]",€600k,Arsenal FC U18,19,"Jan 18, 1987",Retired
Centre-Back,right,,Matthew Connolly,"1,88m",34559,['England'],€50k,,18,"Sep 24, 1987",Retired
Left-Back,left,"Jul 1, 1999",Ashley Cole,"1,76m",3182,"['England', 'Barbados']",€17.00m,Arsenal FC Reserves,25,"Dec 20, 1980",Retired
Left-Back,left,"Aug 4, 2003",Gaël Clichy,"1,76m",7449,"['France', 'Martinique']",€2.00m,: Ablöse €375k,20,"Jul 26, 1985",Retired
Right-Back,both,"Jul 1, 2000",Laurén,"1,82m",3189,"['Cameroon', 'Equatorial Guinea']",€6.50m,RCD Mallorca,29,"Jan 19, 1977",Retired
Right-Back,right,"Jan 7, 2005",Emmanuel Eboué,"1,78m",13058,"[""Cote d'Ivoire"", 'Belgium']",€4.50m,KSK Beveren (- 2010),23,"Jun 4, 1983",Retired
Right-Back,right,"Jan 1, 2003",Justin Hoyte,"1,78m",7335,"['Trinidad and Tobago', 'England']",€800k,Arsenal FC U18,21,"Nov 20, 1984",Miami Beach CF
Right-Back,right,"Jul 1, 2005",Kerrea Gilbert,"1,75m",34562,['England'],€200k,Arsenal FC U18,19,"Feb 28, 1987",Retired
Defensive Midfield,right,"Jul 26, 2002",Gilberto Silva,"1,85m",3194,['Brazil'],€7.75m,Clube Atlético Mineiro,29,"Oct 7, 1976",Retired
Defensive Midfield,right,"Aug 29, 2013",Mathieu Flamini,"1,78m",17396,['France'],€5.00m,AC Milan,22,"Mar 7, 1984",Retired
Defensive Midfield,right,"Aug 11, 2005",Alex Song,"1,85m",27394,"['Cameroon', 'France']",€4.00m,: Ablöse €4.00m,18,"Sep 9, 1987",Retired
Central Midfield,right,"Jul 1, 2004",Cesc Fàbregas,"1,79m",8806,['Spain'],€13.50m,Arsenal FC U18,19,"May 4, 1987",Retired
Central Midfield,right,"Jan 13, 2006",Abou Diaby,"1,91m",26763,"['France', ""Cote d'Ivoire""]",€3.00m,AJ Auxerre,20,"May 11, 1986",Retired
Central Midfield,right,"Jul 1, 2004",Patrick Cregg,"1,76m",34560,['Ireland'],€250k,Arsenal FC U18,20,"Feb 21, 1986",Retired
Central Midfield,right,"Jul 1, 2004",Sebastian Larsson,"1,78m",31720,['Sweden'],€175k,Arsenal FC U18,21,"Jun 6, 1985",Retired
Central Midfield,right,"Jul 1, 2005",Fabrice Muamba,"1,88m",35586,"['England', 'DR Congo']",€100k,Arsenal FC U18,18,"Apr 6, 1988",Retired
Right Midfield,,"Sep 1, 1998",Freddie Ljungberg,,3134,['Sweden'],€14.00m,Halmstads BK,29,"Apr 16, 1977",Retired
